medcodeid,term,snomedct_conceptid,snomedct_descriptionid,eth16_2001,eth18_2011,eth19_2021
405070017,greek/greek cypriot (nmo),270466006,405070017,Any other White background,Any other White background,Any other White background
411596013,turkish (nmo),275601009,411596013,Any other White background,Any other White background,Any other White background
142781000000114,mixed irish and other white - ethnic category 2001 census,94021000000104,142781000000114,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
1968071000006114,white: gypsy/irish traveller - eng+wales eth cat 2011 census,976671000000104,2484711000000117,Any other White background,Gypsy or Irish Traveller,Gypsy or Irish Traveller
141321000000118,white and black caribbean - ethnic category 2001 census,92421000000102,141321000000118,White and Black Caribbean,White and Black Caribbean,White and Black Caribbean
460153018,black caribbean and white,315634007,460153018,White and Black Caribbean,White and Black Caribbean,White and Black Caribbean
1968091000006110,mixed: white+black caribbean - eng+wales eth cat 2011 census,976711000000103,2484791000000114,White and Black Caribbean,White and Black Caribbean,White and Black Caribbean
1968261000006110,mixed: white and black caribbean - ni ethnic cat 2011 census,977391000000108,2486241000000118,White and Black Caribbean,White and Black Caribbean,White and Black Caribbean
141331000000116,white and black african - ethnic category 2001 census,92431000000100,141331000000116,White and Black African,White and Black African,White and Black African
460154012,black african and white,315635008,460154012,White and Black African,White and Black African,White and Black African
1968101000006116,mixed: white+black african - eng+wales eth cat 2011 census,976731000000106,2484831000000119,White and Black African,White and Black African,White and Black African
196611000006111,race: afro-caucasian,413466005,2533841013,White and Black African,White and Black African,White and Black African
1968271000006115,mixed: white and black african - ni ethnic cat 2011 census,977411000000108,2486281000000114,White and Black African,White and Black African,White and Black African
141341000000113,white and asian - ethnic category 2001 census,92441000000109,141341000000113,White and Asian,White and Asian,White and Asian
285991010,"other ethnic, asian/white orig",186021006,285991010,White and Asian,White and Asian,White and Asian
1968111000006118,mixed: white+asian - eng+wales ethnic category 2011 census,976751000000104,2484871000000117,White and Asian,White and Asian,White and Asian
1968281000006117,mixed: white and asian - ni ethnic category 2011 census,977431000000100,2486321000000118,White and Asian,White and Asian,White and Asian
157291000000115,black and white - ethnic category 2001 census,110771000000104,157291000000115,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
285992015,"other ethnic, mixed white orig",186022004,285992015,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
4740401000006118,"other ethnic, other mixed origin",186023009,2668813019,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
141471000000113,black and asian - ethnic category 2001 census,92581000000100,141471000000113,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
4740341000006112,"other ethnic, black/white origin",186020007,2763938013,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
937511000006119,other mixed or mixed unspecified ethnic category 2001 census,92621000000100,141501000000118,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
459729014,mixed ethnic census group,315239007,459729014,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
285993013,"other ethnic, other mixed orig",186023009,285993013,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
1968291000006119,mixed: other mixed/multiple ethnic backgrd - ni 2011 census,977551000000106,2486561000000119,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
285952017,other black - black/white orig,185999009,285952017,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
285990011,"other ethnic, black/white orig",186020007,285990011,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
285953010,other black - black/asian orig,186000006,285953010,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
141481000000110,black and chinese - ethnic category 2001 census,92591000000103,141481000000110,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
285989019,"other ethnic, mixed origin",186019001,285989019,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
1968471000006116,mixed/multiple ethnic grps: any- scot ethnic cat 2011 census,978051000000102,2487561000000117,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
141491000000112,chinese and white - ethnic category 2001 census,92601000000109,141491000000112,White and Asian,White and Asian,White and Asian
4740361000006111,"other ethnic, asian/white origin",186021006,2764123018,White and Asian,White and Asian,White and Asian
158361000000116,asian and chinese - ethnic category 2001 census,92611000000106,158361000000116,White and Asian,White and Asian,White and Asian
141351000000111,other mixed background - ethnic category 2001 census,92451000000107,141351000000111,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
4740381000006118,"other ethnic, mixed white origin",186022004,2668812012,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
781081000006113,indian,414481008,2533844017,Indian,Indian,Indian
1968131000006112,asian/asian brit: indian - eng+wales ethnic cat 2011 census,976791000000107,2484951000000116,Indian,Indian,Indian
1968301000006118,asian or asian british: indian - ni ethnic cat 2011 census,977591000000103,2486641000000116,Indian,Indian,Indian
157271000000119,indian or british indian - ethnic category 2001 census,110751000000108,157271000000119,Indian,Indian,Indian
1564921000006112,indian,1564921000006108,1564921000006112,Indian,Indian,Indian
285954016,indian,414481008,2533844017,Indian,Indian,Indian
1968491000006115,"asian: indian, indian scot/indian brit- scotland 2011 census",978111000000100,2487681000000110,Indian,Indian,Indian
250228011,indian origin,160519009,250228011,Indian,Indian,Indian
1968141000006119,asian/asian british:pakistani- eng+wales eth cat 2011 census,976811000000108,2484991000000112,Pakistani,Pakistani,Pakistani
141361000000114,pakistani or british pakistani - ethnic category 2001 census,92461000000105,141361000000114,Pakistani,Pakistani,Pakistani
285955015,pakistani,186002003,285955015,Pakistani,Pakistani,Pakistani
1565441000006111,pakistani,1565441000006107,1565441000006111,Pakistani,Pakistani,Pakistani
1968311000006115,asian/asian british: pakistani - ni ethnic cat 2011 census,977711000000100,2486881000000113,Pakistani,Pakistani,Pakistani
196721000006111,race: pakistani,186002003,285955015,Pakistani,Pakistani,Pakistani
1968481000006118,asian: pakistani/pakistani scot/pakistani brit- scot 2011,978071000000106,2487601000000117,Pakistani,Pakistani,Pakistani
1564291000006119,bangladeshi,1564291000006103,1564291000006119,Bangladeshi,Bangladeshi,Bangladeshi
1968501000006111,"bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011",978171000000105,2487801000000118,Bangladeshi,Bangladeshi,Bangladeshi
